team season day ones twos threes fours fives teampower chance id territory territory_power
7 1 1 0 1 0 0 0 2 0.5 608 23 4
19 1 1 0 1 0 0 0 2 0.5 609 23 4
8 1 1 0 0 0 0 0 0 0 610 23 4
1 1 1 0 0 1 0 0 3 0.42857142857142855 611 24 7
10 1 1 0 2 0 0 0 4 0.5714285714285714 612 24 7
8 1 1 0 0 0 0 0 0 0 613 24 7
8 1 1 0 0 0 0 0 0 0 614 25 5
9 1 1 0 1 1 0 0 5 1 615 25 5
9 1 1 0 0 0 0 0 0 1 616 26 0
9 1 1 0 0 0 0 0 0 0 617 27 2
10 1 1 0 1 0 0 0 2 1 618 27 2
9 1 1 0 0 0 0 0 0 0 619 28 13
10 1 1 0 5 1 0 0 13 1 620 28 13
10 1 1 1 2 0 0 0 7.5 0.6521739130434783 621 29 11.5
11 1 1 2 1 0 0 0 4 0.34782608695652173 622 29 11.5
10 1 1 0 3 0 0 0 9 1 623 30 9
10 1 1 0 0 0 0 0 0 0 624 31 5
11 1 1 0 1 1 0 0 5 1 625 31 5
11 1 1 0 0 0 0 0 0 0 626 32 12
1 1 1 4 4 0 0 0 12 1 627 32 12
11 1 1 0 0 0 0 0 0 0 628 33 2
10 1 1 0 1 0 0 0 2 1 629 33 2
11 1 1 0 1 0 0 0 3 0.375 630 34 8
10 1 1 0 1 1 0 0 5 0.625 631 34 8
12 1 1 0 0 0 0 0 0 0 632 35 1
26 1 1 1 0 0 0 0 1 1 633 35 1
44 1 1 0 0 0 0 0 0 0 634 133 5
45 1 1 0 1 1 0 0 5 1 635 133 5
43 1 1 1 0 0 0 0 1 0.25 636 134 4
45 1 1 0 1 0 0 0 3 0.75 637 134 4
45 1 1 0 0 0 0 0 0 1 638 135 0
45 1 1 1 0 0 0 0 1.5 1 639 136 1.5
46 1 1 0 0 0 0 0 0 0 640 137 2
45 1 1 0 1 0 0 0 2 1 641 137 2
46 1 1 0 0 0 0 0 0 1 642 138 0
46 1 1 0 0 0 0 0 0 0 643 139 3
19 1 1 1 1 0 0 0 3 1 644 139 3
46 1 1 0 0 0 0 0 0 1 645 140 0
